libro,id,título,campo,antes,después,motivo
melodias_de_victoria,himno_mv-045,No me Pases,autor,Francisca J. Crosby,Fanny J. Crosby,"Mismo nombre escrito distinto (""Francisca J. Crosby"") → forma más completa ""Fanny J. Crosby"""
melodias_de_victoria,himno_mv-045,No me Pases,compositor,W. H. Doane,William H. Doane,"Mismo nombre escrito distinto (""W. H. Doane"") → forma más completa ""William H. Doane"""
melodias_de_victoria,himno_mv-002,"Más Cerca, Oh Dios, de Ti",autor,Sarah F. Adams,Sara F. Adams,"Mismo nombre escrito distinto (""Sarah F. Adams"") → forma más completa ""Sara F. Adams"""
melodias_de_victoria,himno_mv-036,Habladme Más de Cristo,autor,V. Mendoza,Vicente Mendoza,"Mismo nombre escrito distinto (""V. Mendoza"") → forma más completa ""Vicente Mendoza"""
innario,inno-131,"Va, dillo a tutto il mondo",autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
innario,inno-131,"Va, dillo a tutto il mondo",compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
innario,inno-448,Spezziamo il pane,autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
innario,inno-539,"Son io, Signor",autor,Tradizionale Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
innario,inno-539,"Son io, Signor",compositor,Tradizionale Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
innario,inno-518,Maestà,autor,Jack Hayford,Jack W. Hayford,"Mismo nombre escrito distinto (""Jack Hayford"") → forma más completa ""Jack W. Hayford"""
innario,inno-518,Maestà,compositor,Jack Hayford,Jack W. Hayford,"Mismo nombre escrito distinto (""Jack Hayford"") → forma más completa ""Jack W. Hayford"""
innario,inno-394,Forte rocca,autor,Martín Lutero,Martin Luther,"Mismo nombre escrito distinto (""Martín Lutero"") → forma más completa ""Martin Luther"""
innario,inno-394,Forte rocca,compositor,Martín Lutero,Martin Luther,"Mismo nombre escrito distinto (""Martín Lutero"") → forma más completa ""Martin Luther"""
innario,inno-436,Fra bei palagi e ville,compositor,Henry Bishop,Henry R. Bishop,"Mismo nombre escrito distinto (""Henry Bishop"") → forma más completa ""Henry R. Bishop"""
innario,inno-067,Quale amico è il Signor Gesù,autor,Desconocido,Joseph M. Scriven,Completado desde himnario
innario,inno-305,"Così qual sono, Signore mio Re",compositor,Desconocido,William B. Bradbury,Completado desde himnario
innario,inno-311,"Così qual sono, pien di peccato",compositor,Desconocido,William B. Bradbury,Completado desde himnario
cancionero,por_eso_le_amo,Por eso le amo,autor,José María Armengol,Daniel O. Plenc,"Autor según el himnario 2009 impreso (Daniel O. Plenc, 1990)"
cancionero,por_eso_le_amo,Por eso le amo,compositor,José María Armengol,Daniel O. Plenc,"Compositor según el himnario 2009 impreso (Daniel O. Plenc, 1990)"
cancionero,dame_a_cristo,Dame a Cristo,autor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
cancionero,dame_a_cristo,Dame a Cristo,compositor,Negro Spiritual,Spiritual,"""Negro Spiritual""/""Tradizionale Spiritual"" → ""Spiritual"""
cancionero,yo_tengo_gozo,Yo tengo gozo,compositor,George Willis Cooke,George W. Cooke,"Mismo nombre escrito distinto (""George Willis Cooke"") → forma más completa ""George W. Cooke"""
cancionero,dulce_oracion,Dulce oración,compositor,William Batchelder Bradbury,William B. Bradbury,"Mismo nombre escrito distinto (""William Batchelder Bradbury"") → forma más completa ""William B. Bradbury"""
cancionero,como_el_ciervo,Como el ciervo (revisar letra),autor,Marty Nystrom,Martin Nystrom,"Mismo nombre escrito distinto (""Marty Nystrom"") → forma más completa ""Martin Nystrom"""
cancionero,como_el_ciervo,Como el ciervo (revisar letra),compositor,Marty Nystrom,Martin Nystrom,"Mismo nombre escrito distinto (""Marty Nystrom"") → forma más completa ""Martin Nystrom"""
cancionero,Jesús_te_ama,Jesús te ama,autor,Patricia Miguel,Patricia J. Miguel,"Mismo nombre escrito distinto (""Patricia Miguel"") → forma más completa ""Patricia J. Miguel"""
cancionero,Jesús_te_ama,Jesús te ama,compositor,Patricia Miguel,Patricia J. Miguel,"Mismo nombre escrito distinto (""Patricia Miguel"") → forma más completa ""Patricia J. Miguel"""
cancionero,Jesús_es_mi_vida,Jesús es mi vida,compositor,Lucio Maier,Lucio A. D. Maier,"Mismo nombre escrito distinto (""Lucio Maier"") → forma más completa ""Lucio A. D. Maier"""
cancionero,Jesús_tu_eres_mi_alegria,"Jesús, tú eres mi alegría",autor,Williams S. Costa Jr.,Williams S. Costa Junior,"Mismo nombre escrito distinto (""Williams S. Costa Jr."") → forma más completa ""Williams S. Costa Junior"""
cancionero,Jesús_tu_eres_mi_alegria,"Jesús, tú eres mi alegría",compositor,Williams S. Costa Jr.,Williams S. Costa Junior,"Mismo nombre escrito distinto (""Williams S. Costa Jr."") → forma más completa ""Williams S. Costa Junior"""
