libro,id,título,campo,antes,después,motivo
himnario,himno-485,Unidos en verdad,referencia_biblica,Juan 17:21,Juan 17:21; Filipenses 1:27; 1 Tesalonicenses 4:17,Unificación de citas con los equivalentes de otros libros
himnario,himno-551,Embajador soy de mi Rey,referencia_biblica,2 Corintios 5:20,2 Corintios 5:20; Apocalipsis 21:1-4; Filipenses 3:20-21,Unificación de citas con los equivalentes de otros libros
himnario,himno-555,Hoy gozoso medito,referencia_biblica,Daniel 12:3,Daniel 12:3; Apocalipsis 21:1-4; Filipenses 3:20-21,Unificación de citas con los equivalentes de otros libros
himnario,himno-563,"Escuchad, Jesús nos dice",referencia_biblica,Isaías 6:8,Isaías 6:8; Marcos 10:13-16; Mateo 28:19-20,Unificación de citas con los equivalentes de otros libros
himnario,himno-585,De rodillas partimos hoy el pan,referencia_biblica,1 Corintios 11:23-25,1 Corintios 11:23-25; Hechos 2:46; Lucas 18:13,Unificación de citas con los equivalentes de otros libros
himnario,himno-592,"Si Dios está, ¡feliz hogar!",referencia_biblica,Efesios 5:25,Efesios 5:25; Josué 24:15,Unificación de citas con los equivalentes de otros libros
himnario,himno-593,Hogar de mis recuerdos,referencia_biblica,2 Timoteo 1:5,2 Timoteo 1:5; Hebreos 11:16,Unificación de citas con los equivalentes de otros libros
himnario,himno-601,Cuando leo en la Biblia,referencia_biblica,Mateo 19:14,Mateo 19:14; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario,himno-614,Amenes,referencia_biblica,Salmos 72:19,Salmos 72:19; Apocalipsis 7:12,Unificación de citas con los equivalentes de otros libros
himnario,himno-226,Buscad primero,referencia_biblica,Mateo 6:33,Mateo 6:33; San Mateo 7:7; San Mateo 4:4,Unificación de citas con los equivalentes de otros libros
himnario,himno-034,En momentos así,referencia_biblica,Salmos 25:1,Salmos 25:1; 1 Crónicas 16:11,Unificación de citas con los equivalentes de otros libros
himnario,himno-354,Voy caminando,referencia_biblica,Mateo 28:20,Mateo 28:20; Salmos 34:4,Unificación de citas con los equivalentes de otros libros
himnario,himno-371,Jesús te ama,referencia_biblica,1 Corintios 15:57,1 Corintios 15:57; Romanos 5:8; Tito 2:13; Apocalipsis 22:20,Unificación de citas con los equivalentes de otros libros
himnario,himno-434,Jesús es mi vida,referencia_biblica,Juan 10:10,Juan 10:10; Salmos 19:1; San Mateo 6:28-30; San Juan 14:6; Salmos 27:1; Salmos 8:3-4,Unificación de citas con los equivalentes de otros libros
himnario,himno-462,Dame a Cristo,referencia_biblica,Mateo 16:26,Mateo 16:26; Salmos 73:25,Unificación de citas con los equivalentes de otros libros
himnario,himno-357,"Jesús, tú eres mi alegría",referencia_biblica,Juan 14:6,Juan 14:6; Habacuc 3:18,Unificación de citas con los equivalentes de otros libros
himnario,himno-342,Después del río,referencia_biblica,Josué 3:14-17,Josué 3:14-17; 1 Corintios 2:9,Unificación de citas con los equivalentes de otros libros
himnario,himno-151,Por eso lo amo,referencia_biblica,1 Juan 4:19,1 Juan 4:19; Apocalipsis 1:7,Unificación de citas con los equivalentes de otros libros
himnario,himno-203,Santo Espíritu llena mi vida,referencia_biblica,Hechos 1:8,Hechos 1:8; San Juan 14:17; San Mateo 25:1-13; San Mateo 5:16; San Marcos 16:15,Unificación de citas con los equivalentes de otros libros
himnario,himno-281,He decidido seguir a Cristo,referencia_biblica,"Lucas 9:57, 62","Lucas 9:57, 62; Gálatas 2:20; Gálatas 6:14; Filipenses 3:13",Unificación de citas con los equivalentes de otros libros
himnario,himno-180,"Sí, lo veremos",referencia_biblica,Isaías 25:9,Isaías 25:9; Apocalipsis 1:7; Mateo 24:30; Filipenses 2:10-11,Unificación de citas con los equivalentes de otros libros
himnario,himno-282,"¡Brilla, Jesús!",referencia_biblica,Juan 8:12,"Juan 8:12; Malaquías 4:2; 2 Corintios 4:6; Salmo 139:23-24; 1 Juan 1:7, San Mateo 8:12",Unificación de citas con los equivalentes de otros libros
himnario,himno-054,Tan bueno es Dios,referencia_biblica,Salmos 34:8,Salmos 34:8; Nahum 1:7; Salmos 145:9,Unificación de citas con los equivalentes de otros libros
himnario,himno-308,Dios descendió,referencia_biblica,2 Timoteo 1:9,2 Timoteo 1:9; Juan 3:3-5; Tito 3:5; 2 Corintios 4:6; Efesios 2:4-7; Juan 14:1-3,Unificación de citas con los equivalentes de otros libros
himnario,himno-429,Él puede,referencia_biblica,Hebreos 7:25,Hebreos 7:25; San Lucas 1:37,Unificación de citas con los equivalentes de otros libros
himnario,himno-472,"Jesús, mi guía es",referencia_biblica,"Salmos 32:6, 7","Salmos 32:6, 7; Salmos 23; Salmos 56:3; 2 Corintios 12:9",Unificación de citas con los equivalentes de otros libros
himnario,himno-059,Mirad qué amor,year,Desconocido,1978,Completado desde Cancionero (mirad_cual_amor): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-281,He decidido seguir a Cristo,year,Desconocido,1905-1920,Completado desde Cancionero (he_decidido_seguir_a_cristo): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-351,Yo tengo gozo,year,Desconocido,1926,Completado desde Cancionero (yo_tengo_gozo): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-357,"Jesús, tú eres mi alegría",year,Desconocido,1990,Completado desde Cancionero (Jesús_tu_eres_mi_alegria): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-363,Hay un canto nuevo en mi ser,year,Desconocido,1938,Completado desde Melodías de Victoria (himno_mv-033): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-371,Jesús te ama,year,Desconocido,1990,Completado desde Cancionero (Jesús_te_ama): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-423,Pertenezco a mi Rey,year,Desconocido,1938,Completado desde Melodías de Victoria (himno_mv-020): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-424,¿Cómo podré estar triste?,year,Desconocido,1906; 1934,Completado desde Melodías de Victoria (himno_mv-028): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-495,Mi deber,year,Desconocido,1903; 1913; 1928,Completado desde Melodías de Victoria (himno_mv-027): el equivalente lo tiene y aquí estaba vacío/Desconocido
himnario,himno-001,Cantad alegres al Señor,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-006,¡Hosanna!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-007,"Oh Dios, mi soberano Rey",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-008,¡Suenen dulces himnos!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-009,Alabemos al Señor,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-010,Alaba al Dios de Abraham,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-011,"Alma, bendice al Señor",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-012,Todos juntos reunidos,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-013,Al Dios invisible,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-014,Engrandecido sea Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-015,"Loámoste, ¡oh Dios!",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-016,A nuestro Padre Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-017,"Oh Padre, eterno Dios",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-018,Load al Padre,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-019,Padre nuestro,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-020,"A Dios, el Padre celestial",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-021,Gloria sea al Padre,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-022,Jehová está en su santo templo,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-023,¡Silencio! ¡Silencio!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-024,Imploramos tu presencia,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-025,Siento la presencia del Señor,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-026,Aquí reunidos,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-027,"¡Oh Pastor divino, escucha!",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-028,Tu pueblo jubiloso,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-029,Del culto el tiempo llega,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-031,"¡Oh, Señor! al orar",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-032,Nos reunimos en tu santuario,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-033,"Tu presencia, Padre amante, invocamos",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-034,En momentos así,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-035,"Oye, oh Señor",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-036,"¡Oh, Dios, que oyes cada oración!",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-037,Dios os guarde,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-038,Que Dios te guarde,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-039,Despide hoy tu grey,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-040,Shalom,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-041,"Gracia, amor y comunión",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-042,"Queda, Señor",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-043,Agua de vida,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-044,Despídenos con tu bendición,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-045,"Después, Señor",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-046,Hoy amanece,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-047,Por la mañana,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-048,"Oh Dios, si he ofendido un corazón",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-049,"Cristo, ya la noche cierra",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-050,Baja el sol,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-051,Nuestro sol se pone ya,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-052,"Señor Jesús, el día ya se fue",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-053,¡Oh amor de Dios!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-054,Tan bueno es Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-055,"Grande, Señor, es tu misericordia",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-057,Mi Dios me ama,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-058,Grande es el amor divino,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-059,Mirad qué amor,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-060,¡Santo! ¡Santo! ¡Santo! Tu gloria llena,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-061,"Santo, Santo, Santo, Dios Omnipotente",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-062,"Santo, Santo, Santo, Santo es el Señor",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-063,Al Rey adorad,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-064,Yo canto el poder de Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-065,El mundo es de mi Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-066,¿Sabes cuántos?,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-067,"¡Señor, yo te conozco!",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-068,Todo lo que ha creado Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-069,"Señor, mi Dios",tonalidad,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-069,"Señor, mi Dios",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-069,"Señor, mi Dios",compas,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-070,¡Nuestro Dios reina!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-71,Cada cosa hermosa,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-72,Fue un milagro,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-73,La creación,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-74,Himno al Creador,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-76,"Eterno Dios, mi Creador",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-77,Sea exaltado,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-78,¡Al mundo paz!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-79,Se oye un canto en alta esfera,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-80,"Venid, pastorcillos",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-81,Noche de paz,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-82,Ya repican las campanas,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-83,La primera Navidad,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-84,"Ve, dilo en las montañas",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-85,Allá en el pesebre,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-86,A medianoche en Belén,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-87,"Venid, fieles todos",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-88,"Oh, aldehuela de Belén",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-89,"Cristianos, alegraos hoy",tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-90,Somos del oriente,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-91,¿Qué niño es este?,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-92,Angeles cantando están,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-93,Hubo Uno que quiso,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-94,Sangró mi soberano Dios,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-95,Un día,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-96,Al contemplar la excelsa cruz,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-97,En el monte Calvario,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-98,Rostro divino,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-99,Jamás podrá alguien separarnos,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario,himno-100,¡Dulces momentos!,tempo_bpm,,Desconocido,Dato vacío → Desconocido (se traduce)
himnario_1962,himno_62-517,¡Cuánto me alegra!,es.revisado,Dudoso,No,Se quitó el vínculo dudoso con Melodías de Victoria #38 (era otro canto)
himnario_1962,himno_62-062,¡Oh Amor de Dios!,compas,8/4,3/4,Verificado por el usuario: es 3/4 (decía 8/4)
himnario_1962,himno_62-338,¡Silencio! ¡silencio!,referencia_biblica,Salmos 46:10,Salmos 46:10; Habacuc 2:20,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-048,"Señor Jesús, el día ya se fue",referencia_biblica,Lucas 24:29,Lucas 24:29; Efesios 2:8-9; 1 Juan 1:9,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-062,¡Oh Amor de Dios!,referencia_biblica,1 Juan 4:8,1 Juan 4:8; Efesios 3:18-19,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-070,"Santo, Santo, Santo",referencia_biblica,Isaías 6:3,Isaías 6:3; Apocalipsis 4:8,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-101,El Señor resucitó,referencia_biblica,Hechos 2:24,Hechos 2:24; 1 Corintios 15:3-4; Mateo 28:5-7,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-104,Cristo ha resucitado,referencia_biblica,Hechos 2:24,Hechos 2:24; 1 Corintios 15:3-4; Mateo 28:5-7,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-112,Dime la antigua historia,referencia_biblica,1 Timoteo 1:15,1 Timoteo 1:15; Lucas 2:1-20; Mateo 1:18-23,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-514,"De su trono, mi Jesús",referencia_biblica,Efesios 5:2,Efesios 5:2; Juan 3:16; San Mateo 19:14; San Marcos 10:14; San Juan 15:15,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-125,Abrigadas y salvas en el redil,referencia_biblica,Lucas 15:4-6,Lucas 15:4-6; Lucas 15:3-7,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-012,"¡Tu nombre es dulce, buen Jesús!",referencia_biblica,Mateo 1:23,Mateo 1:23; Efesios 2:8-9; 1 Juan 1:9,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-017,A Cristo coronad,referencia_biblica,Apocalipsis 19:12,Apocalipsis 19:12; Juan 14:1-3; 1 Tesalonicenses 4:16-17,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-165,En presencia estar de Cristo,referencia_biblica,Apocalipsis 22:4,Apocalipsis 22:4; Juan 14:1-3; 1 Tesalonicenses 4:16-17,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-206,"Tierno y amante, Jesús nos invita",referencia_biblica,Mateo 11:28,Mateo 11:28; Isaías 53:4-6; Efesios 2:8-9,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-259,Que mi vida entera esté,referencia_biblica,Filipenses 1:21,Filipenses 1:21; Juan 3:16; Efesios 2:8-9,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-262,Tal como soy,referencia_biblica,Lucas 18:13,Lucas 18:13; Juan 6:37,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-329,Grato es contar la historia,referencia_biblica,Salmos 66:16,Salmos 66:16; Hebreos 11:1; Romanos 5:1-5,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-236,Roca de la eternidad,referencia_biblica,Salmos 18:2,Salmos 18:2; 1 Corintios 10:4,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-505,¿Nos veremos junto al río?,referencia_biblica,Apocalipsis 22:1,Apocalipsis 22:1; Apocalipsis 21:1-4; Filipenses 3:20-21,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-500,Aunque en esta vida,referencia_biblica,1 Corintios 2:9,1 Corintios 2:9; Hebreos 11:1; Romanos 5:1-5,Unificación de citas con los equivalentes de otros libros
himnario_1962,himno_62-502,A veces oigo un himno,referencia_biblica,"Apocalipsis 15:2, 3","Apocalipsis 15:2, 3; Génesis 1:1-31; Salmos 19:1-7",Unificación de citas con los equivalentes de otros libros
