grupo,confianza del vínculo,campo,libro A,id A,título A,valor A,libro B,id B,título B,valor B,qué pasa,propuesta,aviso,TU DECISIÓN (A / B / ambos / dejar)
eq-0400,media,titulo_original,Himnario 1962,himno_62-021,"Cristo, Señor","Cristo, Señor",Melodías de Victoria,himno_mv-047,Cristo Señor,Finlandia,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0037,media,titulo_original,Himnario 1962,himno_62-062,¡Oh Amor de Dios!,¡Oh amor de Dios!,Melodías de Victoria,himno_mv-007,"Oh, Amor de Dios",The Love of God,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0037,media,titulo_original,Himnario 1962,himno_62-062,¡Oh Amor de Dios!,¡Oh amor de Dios!,Cancionero MV,oh_amor_de_dios,"Oh, amor de Dios",The Love of God,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0038,alta,titulo_original,Himnario 1962,himno_62-063,Mi Dios me Ama,Mi Dios me ama,Melodías de Victoria,himno_mv-001,Mi Dios me Ama,My God Loves Me,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0063,alta,titulo_original,Himnario 1962,himno_62-096,En el monte Calvario,En el monte Calvario,Melodías de Victoria,himno_mv-064,La Cruz de Jesús,The Old Rugged Cross,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0071,media,titulo_original,Himnario 1962,himno_62-109,Amigo Fiel es Cristo,I Have a Friend So Precious,Melodías de Victoria,himno_mv-046,Jesús Y Yo,My Lord and I,títulos originales distintos,revisar,,
eq-0207,media,titulo_original,Himnario 1962,himno_62-236,Roca de la eternidad,"Rock of Ages, Cleft for Me",Melodías de Victoria,himno_mv-035,Roca de la Eternidad,Rock of Ages,títulos originales distintos,revisar,,
eq-0280,alta,titulo_original,Himnario 1962,himno_62-257,"Padre, yo vengo a ti","Padre, yo vengo a ti",Melodías de Victoria,himno_mv-021,"Padre, yo Vengo a Ti","Father, We Come to Thee",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0168,media,titulo_original,Himnario 1962,himno_62-272,"Jesús, yo he prometido","O Jesus, I Have Promised",Melodías de Victoria,himno_mv-055,"Jesús, yo he Prometido","Jesus, I Have Promised",títulos originales distintos,revisar,,
eq-0246,media,titulo_original,Himnario 1962,himno_62-344,Dulce Oración,Dulce oración,Cancionero MV,dulce_oracion,Dulce oración,Sweet Hour of Prayer,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0248,alta,titulo_original,Himnario 1962,himno_62-349,"¡Oh, qué amigo nos es Cristo!","¡Oh, qué amigo nos es Cristo!",Melodías de Victoria,himno_mv-006,Todo a Dios en Oración,What a Friend,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0401,media,titulo_original,Himnario 1962,himno_62-370,Muy constante es Jesús,Muy constante es Jesús,Melodías de Victoria,himno_mv-051,Cristo Es Siempre Fiel,Jesus Never Fails,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0294,alta,titulo_original,Himnario 1962,himno_62-407,No me pases,No me pases,Melodías de Victoria,himno_mv-045,No me Pases,Pass Me Not,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0296,alta,titulo_original,Himnario 1962,himno_62-408,"Más cerca, oh Dios, de ti","Más cerca, oh Dios, de ti",Melodías de Victoria,himno_mv-002,"Más Cerca, Oh Dios, de Ti","Nearer, My God, to Thee",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0283,alta,titulo_original,Himnario 1962,himno_62-420,Cariñoso Salvador,Cariñoso Salvador,Melodías de Victoria,himno_mv-037,Cariñoso Salvador,"Jesus, Lover of My Soul",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0402,alta,titulo_original,Himnario 1962,himno_62-422,Divina Luz,Divina Luz,Melodías de Victoria,himno_mv-012,"Divina Luz, Con Tu Esplendor Benigno","Lead, Kindly Light",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0271,media,titulo_original,Himnario 1962,himno_62-430,Si la fe me abandonare,Si mi débil fe flaqueare,Melodías de Victoria,himno_mv-031,El me Sostendrá,He Will Hold Me Fast,títulos originales distintos,revisar,,
eq-0236,media,titulo_original,Himnario 1962,himno_62-458,Yo tengo gozo,Joy in My Heart,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,"I've Got the Joy, Joy, Joy, Joy",títulos originales distintos,revisar,,
eq-0016,baja,titulo_original,Himnario 2009,himno-021,Gloria sea al Padre,Gloria sea al Padre,Himnario 1962,himno_62-054,Gloria demos al Padre,Gloria demos al Padre,títulos originales distintos,revisar,,
eq-0037,media,titulo_original,Himnario 2009,himno-053,¡Oh amor de Dios!,¡Oh amor de Dios!,Melodías de Victoria,himno_mv-007,"Oh, Amor de Dios",The Love of God,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0037,media,titulo_original,Himnario 2009,himno-053,¡Oh amor de Dios!,¡Oh amor de Dios!,Cancionero MV,oh_amor_de_dios,"Oh, amor de Dios",The Love of God,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0419,media,titulo_original,Himnario 2009,himno-054,Tan bueno es Dios,Tan bueno es Dios,Cancionero MV,dios_bueno_es,Dios bueno es,God is so good,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",posible vínculo equivocado (difieren autor/compositor/año),
eq-0038,alta,titulo_original,Himnario 2009,himno-057,Mi Dios me ama,Mi Dios me ama,Melodías de Victoria,himno_mv-001,Mi Dios me Ama,My God Loves Me,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0414,alta,titulo_original,Himnario 2009,himno-059,Mirad qué amor,Mirad qué amor,Cancionero MV,mirad_cual_amor,Mirad cual amor,Behold what manner of love,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0071,media,titulo_original,Himnario 2009,himno-108,Amigo fiel es Cristo,I Have a Friend So Precious,Melodías de Victoria,himno_mv-046,Jesús Y Yo,My Lord and I,títulos originales distintos,revisar,,
eq-0416,media,titulo_original,Himnario 2009,himno-180,"Sí, lo veremos",We Shall Behold Him,Cancionero MV,si_lo_veremos,"Si, lo veremos","Si, lo veremos",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0408,alta,titulo_original,Himnario 2009,himno-183,No me olvidé de ti,Não Me Esqueci de Ti,Cancionero MV,no_me_olvide_de_ti,No me olvidé de ti,Eu não me esqueci de ti,títulos originales distintos,revisar,,
eq-0168,media,titulo_original,Himnario 2009,himno-256,"Jesús, yo he prometido","O Jesus, I Have Promised",Melodías de Victoria,himno_mv-055,"Jesús, yo he Prometido","Jesus, I Have Promised",títulos originales distintos,revisar,,
eq-0415,media,titulo_original,Himnario 2009,himno-281,He decidido seguir a Cristo,I Have Decided to Follow Jesus,Cancionero MV,he_decidido_seguir_a_cristo,He decidido seguir a Cristo,मैंने मसीह का अनुसरण करने का निश्चय किया है (Maine Masīh kā anusaraṇ karne kā niścay kiyā hai),títulos originales distintos,revisar,posible vínculo equivocado (difieren autor/compositor/año),
eq-0207,media,titulo_original,Himnario 2009,himno-307,Roca de la eternidad,"Rock of Ages, Cleft for Me",Melodías de Victoria,himno_mv-035,Roca de la Eternidad,Rock of Ages,títulos originales distintos,revisar,,
eq-0236,media,titulo_original,Himnario 2009,himno-351,Yo tengo gozo,Joy in My Heart,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,"I've Got the Joy, Joy, Joy, Joy",títulos originales distintos,revisar,,
eq-0410,alta,titulo_original,Himnario 2009,himno-357,"Jesús, tú eres mi alegría","Jesus, Tu És a Minha Vida",Cancionero MV,Jesús_tu_eres_mi_alegria,"Jesús, tú eres mi alegría","Jesús, tú eres mi alegría",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0246,media,titulo_original,Himnario 2009,himno-376,Dulce oración,Dulce oración,Cancionero MV,dulce_oracion,Dulce oración,Sweet Hour of Prayer,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0248,alta,titulo_original,Himnario 2009,himno-378,"¡Oh, qué amigo nos es Cristo!","¡Oh, qué amigo nos es Cristo!",Melodías de Victoria,himno_mv-006,Todo a Dios en Oración,What a Friend,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0271,media,titulo_original,Himnario 2009,himno-409,Si mi débil fe flaqueare,Si mi débil fe flaqueare,Melodías de Victoria,himno_mv-031,El me Sostendrá,He Will Hold Me Fast,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0280,alta,titulo_original,Himnario 2009,himno-418,"Padre, yo vengo a ti","Padre, yo vengo a ti",Melodías de Victoria,himno_mv-021,"Padre, yo Vengo a Ti","Father, We Come to Thee",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0283,alta,titulo_original,Himnario 2009,himno-421,Cariñoso Salvador,Cariñoso Salvador,Melodías de Victoria,himno_mv-037,Cariñoso Salvador,"Jesus, Lover of My Soul",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0285,alta,titulo_original,Himnario 2009,himno-423,Pertenezco a mi Rey,Pertenezco a mi Rey,Melodías de Victoria,himno_mv-020,Pertenezco a mi Rey,I Belong to the King,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0286,alta,titulo_original,Himnario 2009,himno-424,¿Cómo podré estar triste?,¿Cómo podré estar triste?,Melodías de Victoria,himno_mv-028,El Cuidará de Mí,His Eye is on the Sparrow,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0287,alta,titulo_original,Himnario 2009,himno-432,Como el ciervo,Como el ciervo,Cancionero MV,como_el_ciervo,Como el ciervo (revisar letra),As the deer,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0288,alta,titulo_original,Himnario 2009,himno-438,Mira hacia Dios,Mira hacia Dios,Melodías de Victoria,himno_mv-011,Mira Hacia Dios,Keep Looking Up!,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0294,alta,titulo_original,Himnario 2009,himno-444,No me pases,No me pases,Melodías de Victoria,himno_mv-045,No me Pases,Pass Me Not,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0296,alta,titulo_original,Himnario 2009,himno-446,"Más cerca, oh Dios, de ti","Más cerca, oh Dios, de ti",Melodías de Victoria,himno_mv-002,"Más Cerca, Oh Dios, de Ti","Nearer, My God, to Thee",un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0303,alta,titulo_original,Himnario 2009,himno-453,Cómo ser cual Cristo,Cómo ser cual Cristo,Melodías de Victoria,himno_mv-052,Para Ser Cual Cristo,Like Jesus,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0305,media,titulo_original,Himnario 2009,himno-459,Háblame más de Cristo,Háblame más de Cristo,Melodías de Victoria,himno_mv-036,Habladme Más de Cristo,Tell Me More About Jesus,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0063,alta,titulo_original,Himnario 2009,himno-97,En el monte Calvario,En el monte Calvario,Melodías de Victoria,himno_mv-064,La Cruz de Jesús,The Old Rugged Cross,un libro tiene el título original real (inglés/otro) y el otro repite el título en español,"usar el título original real en ambos, conservando el otro en ""Otros títulos""",,
eq-0037,media,tonalidad,Himnario 2009,himno-053,¡Oh amor de Dios!,C,Melodías de Victoria,himno_mv-007,"Oh, Amor de Dios",Db,edición distinta (no se unifica),dejar cada uno como está,,
eq-0419,media,tonalidad,Himnario 2009,himno-054,Tan bueno es Dios,F,Cancionero MV,dios_bueno_es,Dios bueno es,Re Mayor (D),edición distinta (no se unifica),dejar cada uno como está,posible vínculo equivocado (difieren autor/compositor/año),
eq-0038,alta,tonalidad,Himnario 2009,himno-057,Mi Dios me ama,D,Melodías de Victoria,himno_mv-001,Mi Dios me Ama,F,edición distinta (no se unifica),dejar cada uno como está,,
eq-0414,alta,tonalidad,Himnario 2009,himno-059,Mirad qué amor,Ab,Cancionero MV,mirad_cual_amor,Mirad cual amor,Do Mayor (C),edición distinta (no se unifica),dejar cada uno como está,,
eq-0071,media,tonalidad,Himnario 2009,himno-108,Amigo fiel es Cristo,Eb,Melodías de Victoria,himno_mv-046,Jesús Y Yo,Ab,edición distinta (no se unifica),dejar cada uno como está,,
eq-0075,alta,tonalidad,Himnario 2009,himno-112,Ningún otro me amó cual Cristo,C,Melodías de Victoria,himno_mv-049,Ningún Otro me Amó Cual Cristo,Ab,edición distinta (no se unifica),dejar cada uno como está,,
eq-0408,alta,tonalidad,Himnario 2009,himno-183,No me olvidé de ti,F,Cancionero MV,no_me_olvide_de_ti,No me olvidé de ti,La Mayor (A),edición distinta (no se unifica),dejar cada uno como está,,
eq-0413,alta,tonalidad,Himnario 2009,himno-203,Santo Espíritu llena mi vida,D,Cancionero MV,santo_espiritu,Santo Espíritu,Do Mayor (C),edición distinta (no se unifica),dejar cada uno como está,,
eq-0129,alta,tonalidad,Himnario 2009,himno-205,Dadme la Biblia,G,Melodías de Victoria,himno_mv-003,Dadme la Biblia,Ab,edición distinta (no se unifica),dejar cada uno como está,,
eq-0421,media,tonalidad,Himnario 2009,himno-236,A Jesús entrega todo,Ab,Cancionero MV,a_jesus_dale_todo,A Jesús dale todo,Re Mayor (D),edición distinta (no se unifica),dejar cada uno como está,,
eq-0161,alta,tonalidad,Himnario 2009,himno-249,Tal como soy,D,Melodías de Victoria,himno_mv-019,Cordero de Dios,Eb,edición distinta (no se unifica),dejar cada uno como está,,
eq-0182,media,tonalidad,Himnario 2009,himno-271,Hoy me llama el mundo en vano,G,Melodías de Victoria,himno_mv-025,Quiero Ser Cual Cristo,Ab,edición distinta (no se unifica),dejar cada uno como está,,
eq-0418,media,tonalidad,Himnario 2009,himno-282,"¡Brilla, Jesús!",Ab,Cancionero MV,brilla_Jesús,"Brilla, Jesús",Sol Mayor (G),edición distinta (no se unifica),dejar cada uno como está,,
eq-0184,alta,tonalidad,Himnario 2009,himno-284,Me dice el Salvador,D,Melodías de Victoria,himno_mv-039,Todo Debo a Él,Eb,edición distinta (no se unifica),dejar cada uno como está,,
eq-0206,alta,tonalidad,Himnario 2009,himno-306,Llegó Jesús,F,Melodías de Victoria,himno_mv-059,Llegó Jesús,Eb,edición distinta (no se unifica),dejar cada uno como está,,
eq-0420,media,tonalidad,Himnario 2009,himno-308,Dios descendió,Ab,Cancionero MV,dia_tan_grande,Día tan grande,F,edición distinta (no se unifica),dejar cada uno como está,,
eq-0417,media,tonalidad,Himnario 2009,himno-331,La mañana gloriosa,C,Cancionero MV,la_manana_gloriosa,Cuán gloriosa será la mañana,Sol Mayor (G),edición distinta (no se unifica),dejar cada uno como está,posible vínculo equivocado (difieren autor/compositor/año),
eq-0236,media,tonalidad,Himnario 2009,himno-351,Yo tengo gozo,Bb,Cancionero MV,yo_tengo_gozo,Yo tengo gozo,Sol Mayor (G),edición distinta (no se unifica),dejar cada uno como está,,
eq-0405,alta,tonalidad,Himnario 2009,himno-354,Voy caminando,F,Cancionero MV,voy_caminando,Voy caminando,Do Mayor (C),edición distinta (no se unifica),dejar cada uno como está,,
eq-0241,alta,tonalidad,Himnario 2009,himno-363,Hay un canto nuevo en mi ser,G,Melodías de Victoria,himno_mv-033,Nombre Sin Igual,Ab,edición distinta (no se unifica),dejar cada uno como está,,
eq-0271,media,tonalidad,Himnario 2009,himno-409,Si mi débil fe flaqueare,Eb,Melodías de Victoria,himno_mv-031,El me Sostendrá,Bb,edición distinta (no se unifica),dejar cada uno como está,,
eq-0280,alta,tonalidad,Himnario 2009,himno-418,"Padre, yo vengo a ti",D,Melodías de Victoria,himno_mv-021,"Padre, yo Vengo a Ti",F,edición distinta (no se unifica),dejar cada uno como está,,
eq-0283,alta,tonalidad,Himnario 2009,himno-421,Cariñoso Salvador,Eb,Melodías de Victoria,himno_mv-037,Cariñoso Salvador,F,edición distinta (no se unifica),dejar cada uno como está,,
eq-0285,alta,tonalidad,Himnario 2009,himno-423,Pertenezco a mi Rey,G,Melodías de Victoria,himno_mv-020,Pertenezco a mi Rey,Eb,edición distinta (no se unifica),dejar cada uno como está,,
eq-0286,alta,tonalidad,Himnario 2009,himno-424,¿Cómo podré estar triste?,Bb,Melodías de Victoria,himno_mv-028,El Cuidará de Mí,Db,edición distinta (no se unifica),dejar cada uno como está,,
eq-0422,media,tonalidad,Himnario 2009,himno-429,Él puede,F,Cancionero MV,el_puede,Él puede,Sol Mayor (G),edición distinta (no se unifica),dejar cada uno como está,,
eq-0287,alta,tonalidad,Himnario 2009,himno-432,Como el ciervo,D,Cancionero MV,como_el_ciervo,Como el ciervo (revisar letra),Do Mayor (C),edición distinta (no se unifica),dejar cada uno como está,,
eq-0288,alta,tonalidad,Himnario 2009,himno-438,Mira hacia Dios,C,Melodías de Victoria,himno_mv-011,Mira Hacia Dios,D,edición distinta (no se unifica),dejar cada uno como está,,
eq-0294,alta,tonalidad,Himnario 2009,himno-444,No me pases,G,Melodías de Victoria,himno_mv-045,No me Pases,Ab,edición distinta (no se unifica),dejar cada uno como está,,
